,Location,Total Cases,Total Deaths,Total Recovered
2438,Kalimantan Timur,285,3,142
2439,Kalimantan Utara,165,2,72
2440,Kepulauan Bangka Belitung,43,1,28
2441,Kepulauan Riau,177,15,105
2442,Lampung,132,11,54
2443,Maluku,215,8,35
2444,Maluku Utara,139,7,21
2445,Nusa Tenggara Barat,590,10,275
2446,Nusa Tenggara Timur,90,1,12
2447,Papua,636,7,70
2448,Papua Barat,158,2,42
2449,Riau,120,6,86
2450,Sulawesi Barat,88,2,34
2451,Sulawesi Selatan,1463,68,533
2452,Sulawesi Tengah,126,4,52
2453,Sulawesi Tenggara,241,4,121
2454,Sulawesi Utara,306,35,39
2455,Sumatera Barat,541,26,254
2456,Sumatera Selatan,951,32,136
2457,Sumatera Utara,400,38,119
2458,Aceh,20,1,17
2459,Bali,451,3,206
2460,Banten,816,73,622
2461,Bengkulu,86,3,28
2462,DKI Jakarta,6940,494,1942
2463,Daerah Istimewa Yogyakarta,232,8,162
2464,Gorontalo,70,5,26
2466,Jambi,97,0,15
2467,Jawa Barat,2588,154,778
2468,Jawa Tengah,1834,98,622
2469,Jawa Timur,4633,566,1864
2470,Kalimantan Barat,184,4,54
2471,Kalimantan Selatan,891,79,100
2472,Kalimantan Tengah,394,19,164
2473,Kalimantan Timur,291,3,160
2474,Kalimantan Utara,165,2,72
2475,Kepulauan Bangka Belitung,46,1,28
2476,Kepulauan Riau,195,15,105
2477,Lampung,133,11,65
2478,Maluku,215,8,36
2479,Maluku Utara,146,7,27
2480,Nusa Tenggara Barat,594,10,278
2481,Nusa Tenggara Timur,91,1,12
2482,Papua,654,7,70
2483,Papua Barat,162,2,49
2484,Riau,120,6,87
2485,Sulawesi Barat,88,2,34
2486,Sulawesi Selatan,1503,69,564
2487,Sulawesi Tengah,126,4,52
2488,Sulawesi Tenggara,241,4,121
2489,Sulawesi Utara,322,35,40
2490,Sumatera Barat,552,26,260
2491,Sumatera Selatan,962,36,202
2492,Sumatera Utara,406,42,124
2493,Aceh,20,1,17
2494,Bali,461,3,206
2495,Banten,819,73,622
2496,Bengkulu,91,3,28
2497,DKI Jakarta,7053,495,2012
2498,Daerah Istimewa Yogyakarta,235,8,169
2499,Gorontalo,95,6,29
2501,Jambi,97,0,15
2502,Jawa Barat,2598,154,782
2503,Jawa Tengah,1879,98,632
2504,Jawa Timur,4865,582,2067
2505,Kalimantan Barat,189,4,59
2506,Kalimantan Selatan,917,85,100
2507,Kalimantan Tengah,406,19,164
2508,Kalimantan Timur,295,3,171
2509,Kalimantan Utara,165,2,72
2510,Kepulauan Bangka Belitung,47,1,29
2511,Kepulauan Riau,195,16,105
2512,Lampung,134,11,69
2513,Maluku,223,8,36
2514,Maluku Utara,153,10,27
2515,Nusa Tenggara Barat,636,10,290
2516,Nusa Tenggara Timur,92,1,14
2517,Papua,671,7,70
2518,Papua Barat,168,2,55
2519,Riau,120,6,90
2520,Sulawesi Barat,92,2,41
2521,Sulawesi Selatan,1535,71,596
2522,Sulawesi Tengah,128,4,61
2523,Sulawesi Tenggara,244,4,130
2524,Sulawesi Utara,339,37,51
2525,Sumatera Barat,567,26,269
2526,Sumatera Selatan,981,36,213
2527,Sumatera Utara,409,42,147
2528,Aceh,20,1,17
2529,Bali,478,4,210
2530,Banten,826,74,633
2531,Bengkulu,91,3,31
2532,DKI Jakarta,7210,497,2197
2533,Daerah Istimewa Yogyakarta,236,8,169
2534,Gorontalo,95,6,29
2536,Jambi,97,0,20
2537,Jawa Barat,2606,154,786
2538,Jawa Tengah,1906,100,643
2539,Jawa Timur,4960,598,2163
2540,Kalimantan Barat,196,4,62
2541,Kalimantan Selatan,946,86,100
2542,Kalimantan Tengah,415,19,165
2543,Kalimantan Timur,297,3,174
2544,Kalimantan Utara,165,2,80
2545,Kepulauan Bangka Belitung,47,1,29
2546,Kepulauan Riau,195,16,105
2547,Lampung,136,11,74
2548,Maluku,223,8,36
2549,Maluku Utara,160,13,29
2550,Nusa Tenggara Barat,652,10,291
2551,Nusa Tenggara Timur,97,1,14
2552,Papua,712,7,70
2553,Papua Barat,168,2,55
2554,Riau,120,6,91
2555,Sulawesi Barat,92,2,41
2556,Sulawesi Selatan,1580,72,626
2557,Sulawesi Tengah,128,4,61
2558,Sulawesi Tenggara,244,4,130
2559,Sulawesi Utara,339,38,52
2560,Sumatera Barat,567,26,271
2561,Sumatera Selatan,993,36,222
2562,Sumatera Utara,417,42,150
2563,Aceh,20,1,17
2564,Bali,483,4,211
2565,Banten,840,74,654
2566,Bengkulu,92,3,31
2567,DKI Jakarta,7269,497,2317
2568,Daerah Istimewa Yogyakarta,236,8,170
2569,Gorontalo,109,6,32
2571,Jambi,97,0,20
2572,Jawa Barat,2632,158,831
2573,Jawa Tengah,1942,100,656
2574,Jawa Timur,5131,617,2461
2575,Kalimantan Barat,196,4,62
2576,Kalimantan Selatan,967,89,102
2577,Kalimantan Tengah,424,20,182
2578,Kalimantan Timur,298,3,175
2579,Kalimantan Utara,165,2,82
2580,Kepulauan Bangka Belitung,51,1,30
2581,Kepulauan Riau,207,16,105
2582,Lampung,136,11,80
2583,Maluku,223,8,55
2584,Maluku Utara,174,14,29
2585,Nusa Tenggara Barat,670,12,291
2586,Nusa Tenggara Timur,97,1,14
2587,Papua,811,8,80
2588,Papua Barat,172,2,55
2589,Riau,120,6,94
2590,Sulawesi Barat,92,2,49
2591,Sulawesi Selatan,1622,72,626
2592,Sulawesi Tengah,128,4,61
2593,Sulawesi Tenggara,244,4,133
2594,Sulawesi Utara,354,39,52
2595,Sumatera Barat,574,26,276
2596,Sumatera Selatan,1019,36,224
2597,Sumatera Utara,418,42,152
2598,Aceh,20,1,18
2599,Bali,486,4,214
2600,Banten,911,74,679
2601,Bengkulu,92,3,31
2602,DKI Jakarta,7360,502,2498
2603,Daerah Istimewa Yogyakarta,236,8,171
2604,Gorontalo,119,6,32
2606,Jambi,97,0,27
2607,Jawa Barat,2635,161,874
2608,Jawa Tengah,1982,104,667
2609,Jawa Timur,5304,631,2765
2610,Kalimantan Barat,202,4,86
2611,Kalimantan Selatan,1031,92,102
2612,Kalimantan Tengah,452,24,189
2613,Kalimantan Timur,310,3,177
2614,Kalimantan Utara,165,2,89
2615,Kepulauan Bangka Belitung,63,1,33
2616,Kepulauan Riau,207,16,106
2617,Lampung,136,11,84
2618,Maluku,238,8,55
2619,Maluku Utara,176,15,30
2620,Nusa Tenggara Barat,685,13,296
2621,Nusa Tenggara Timur,98,1,14
2622,Papua,857,8,80
2623,Papua Barat,172,2,55
2624,Riau,120,6,98
2625,Sulawesi Barat,92,2,49
2626,Sulawesi Selatan,1659,72,637
2627,Sulawesi Tengah,129,4,64
2628,Sulawesi Tenggara,251,4,140
2629,Sulawesi Utara,377,43,56
2630,Sumatera Barat,583,26,281
2631,Sumatera Selatan,1029,36,246
2632,Sumatera Utara,444,44,161
2633,Aceh,20,1,18
2634,Bali,506,4,222
2635,Banten,921,74,690
2636,Bengkulu,92,3,31
2637,DKI Jakarta,7469,502,2519
2638,Daerah Istimewa Yogyakarta,236,8,174
2639,Gorontalo,122,6,33
2641,Jambi,99,0,27
2642,Jawa Barat,2646,162,900
2643,Jawa Tengah,2028,108,683
2644,Jawa Timur,5411,646,2944
2645,Kalimantan Barat,202,4,101
2646,Kalimantan Selatan,1140,92,105
2647,Kalimantan Tengah,465,24,189
2648,Kalimantan Timur,316,3,184
2649,Kalimantan Utara,165,2,89
2650,Kepulauan Bangka Belitung,73,1,35
2651,Kepulauan Riau,218,16,107
2652,Lampung,140,11,87
2653,Maluku,238,8,62
2654,Maluku Utara,177,17,30
2655,Nusa Tenggara Barat,705,17,298
2656,Nusa Tenggara Timur,98,1,14
2657,Papua,874,8,80
2658,Papua Barat,173,2,57
2659,Riau,120,6,100
2660,Sulawesi Barat,92,2,49
2661,Sulawesi Selatan,1713,76,640
2662,Sulawesi Tengah,129,4,70
2663,Sulawesi Tenggara,252,5,140
2664,Sulawesi Utara,381,44,62
2665,Sumatera Barat,594,26,316
2666,Sumatera Selatan,1056,39,263
2667,Sumatera Utara,488,45,168
2668,Aceh,20,1,18
2669,Bali,520,4,226
2670,Banten,945,75,715
2671,Bengkulu,92,4,31
2672,DKI Jakarta,7539,503,2657
2673,Daerah Istimewa Yogyakarta,237,8,180
2674,Gorontalo,122,6,37
2676,Jambi,101,0,27
2677,Jawa Barat,2668,163,937
2678,Jawa Tengah,2105,117,725
2679,Jawa Timur,5555,668,3116
2680,Kalimantan Barat,205,4,116
2681,Kalimantan Selatan,1211,94,105
2682,Kalimantan Tengah,480,26,189
2683,Kalimantan Timur,317,3,184
2684,Kalimantan Utara,167,2,94
2685,Kepulauan Bangka Belitung,82,1,35
2686,Kepulauan Riau,221,16,118
2687,Lampung,141,11,98
2688,Maluku,254,8,64
2689,Maluku Utara,178,17,30
2690,Nusa Tenggara Barat,757,20,298
2691,Nusa Tenggara Timur,98,1,14
2692,Papua,916,8,80
2693,Papua Barat,175,2,74
2694,Riau,120,6,102
2695,Sulawesi Barat,92,2,50
2696,Sulawesi Selatan,1766,90,674
2697,Sulawesi Tengah,136,4,78
2698,Sulawesi Tenggara,257,5,150
2699,Sulawesi Utara,391,45,62
2700,Sumatera Barat,607,27,337
2701,Sumatera Selatan,1073,42,282
2702,Sumatera Utara,536,46,173
2703,Aceh,20,1,18
2704,Bali,553,4,227
2705,Banten,981,76,721
2706,Bengkulu,92,4,43
2707,DKI Jakarta,7656,503,2743
2708,Daerah Istimewa Yogyakarta,241,8,185
2709,Gorontalo,127,6,58
2711,Jambi,103,0,27
2712,Jawa Barat,2676,163,954
2713,Jawa Tengah,2168,119,747
2714,Jawa Timur,5639,687,3233
2715,Kalimantan Barat,210,4,121
2716,Kalimantan Selatan,1244,96,109
2717,Kalimantan Tengah,495,26,189
2718,Kalimantan Timur,327,3,206
2719,Kalimantan Utara,168,2,108
2720,Kepulauan Bangka Belitung,99,1,36
2721,Kepulauan Riau,225,16,123
2722,Lampung,143,11,101
2723,Maluku,261,8,67
2724,Maluku Utara,185,17,33
2725,Nusa Tenggara Barat,798,21,310
2726,Nusa Tenggara Timur,98,1,14
2727,Papua,1002,8,80
2728,Papua Barat,178,2,74
2729,Riau,121,6,102
2730,Sulawesi Barat,92,2,58
2731,Sulawesi Selatan,1831,90,674
2732,Sulawesi Tengah,139,4,87
2733,Sulawesi Tenggara,257,5,153
2734,Sulawesi Utara,470,46,62
2735,Sumatera Barat,618,27,340
2736,Sumatera Selatan,1101,43,296
2737,Sumatera Utara,603,46,180
2738,Aceh,20,1,18
2739,Bali,578,4,228
2740,Banten,991,77,723
2741,Bengkulu,92,4,46
2742,DKI Jakarta,7824,507,3030
2743,Daerah Istimewa Yogyakarta,243,8,187
2744,Gorontalo,135,6,62
2746,Jambi,103,0,27
2747,Jawa Barat,2710,163,972
2748,Jawa Tengah,2250,141,764
2749,Jawa Timur,5910,705,3380
2750,Kalimantan Barat,210,4,121
2751,Kalimantan Selatan,1282,99,109
2752,Kalimantan Tengah,496,26,199
2753,Kalimantan Timur,329,3,210
2754,Kalimantan Utara,169,2,119
2755,Kepulauan Bangka Belitung,103,1,37
2756,Kepulauan Riau,226,16,123
2757,Lampung,144,11,102
2758,Maluku,269,8,67
2759,Maluku Utara,186,17,33
2760,Nusa Tenggara Barat,808,21,324
2761,Nusa Tenggara Timur,98,1,14
2762,Papua,1056,8,80
2763,Papua Barat,179,2,74
2764,Riau,121,6,102
2765,Sulawesi Barat,94,2,61
2766,Sulawesi Selatan,1895,90,674
2767,Sulawesi Tengah,159,4,94
2768,Sulawesi Tenggara,259,5,163
2769,Sulawesi Utara,495,51,64
2770,Sumatera Barat,626,27,344
2771,Sumatera Selatan,1126,43,344
2772,Sumatera Utara,603,46,180
2773,Aceh,20,1,18
2774,Bali,590,4,231
2775,Banten,1002,78,728
2776,Bengkulu,92,4,46
2777,DKI Jakarta,7914,507,3105
2778,Daerah Istimewa Yogyakarta,246,8,194
2779,Gorontalo,135,7,66
2781,Jambi,103,0,27
2782,Jawa Barat,2736,166,1053
2783,Jawa Tengah,2350,146,817
2784,Jawa Timur,6229,725,3541
2785,Kalimantan Barat,210,4,124
2786,Kalimantan Selatan,1344,99,118
2787,Kalimantan Tengah,504,28,201
2788,Kalimantan Timur,338,3,213
2789,Kalimantan Utara,169,2,129
2790,Kepulauan Bangka Belitung,103,1,38
2791,Kepulauan Riau,227,16,126
2792,Lampung,145,11,105
2793,Maluku,307,8,80
2794,Maluku Utara,186,17,33
2795,Nusa Tenggara Barat,822,22,324
2796,Nusa Tenggara Timur,103,1,30
2797,Papua,1078,8,80
2798,Papua Barat,179,2,74
2799,Riau,121,6,108
2800,Sulawesi Barat,94,2,62
2801,Sulawesi Selatan,2004,90,674
2802,Sulawesi Tengah,159,4,94
2803,Sulawesi Tenggara,259,5,164
2804,Sulawesi Utara,510,54,73
2805,Sumatera Barat,626,27,355
2806,Sumatera Selatan,1153,43,391
2807,Sumatera Utara,605,48,190
2808,Aceh,20,1,18
2809,Bali,604,4,243
2810,Banten,1018,79,736
2811,Bengkulu,92,4,52
2812,DKI Jakarta,8153,511,3268
2813,Daerah Istimewa Yogyakarta,248,8,194
2814,Gorontalo,140,7,73
2816,Jambi,103,0,27
2817,Jawa Barat,2762,166,1068
2818,Jawa Tengah,2404,153,906
2819,Jawa Timur,6418,749,3668
2820,Kalimantan Barat,234,4,125
2821,Kalimantan Selatan,1435,107,119
2822,Kalimantan Tengah,522,28,201
2823,Kalimantan Timur,351,3,216
2824,Kalimantan Utara,170,2,130
2825,Kepulauan Bangka Belitung,122,1,43
2826,Kepulauan Riau,227,16,126
2827,Lampung,148,11,108
2828,Maluku,315,8,89
2829,Maluku Utara,214,17,33
2830,Nusa Tenggara Barat,830,25,324
2831,Nusa Tenggara Timur,103,1,30
2832,Papua,1094,8,80
2833,Papua Barat,183,2,75
2834,Riau,123,6,108
2835,Sulawesi Barat,94,2,63
2836,Sulawesi Selatan,2179,93,704
2837,Sulawesi Tengah,159,4,94
2838,Sulawesi Tenggara,263,5,181
2839,Sulawesi Utara,527,54,73
2840,Sumatera Barat,645,29,365
2841,Sumatera Selatan,1183,44,402
2842,Sumatera Utara,617,52,190
2843,Aceh,22,1,18
2844,Bali,636,4,244
2845,Banten,1051,79,782
2846,Bengkulu,92,4,53
2847,DKI Jakarta,8319,513,3409
2848,Daerah Istimewa Yogyakarta,249,8,195
2849,Gorontalo,146,7,75
2851,Jambi,105,0,27
2852,Jawa Barat,2811,166,1112
2853,Jawa Tengah,2579,157,1034
2854,Jawa Timur,6693,778,3871
2855,Kalimantan Barat,245,4,145
2856,Kalimantan Selatan,1562,111,129
2857,Kalimantan Tengah,537,29,212
2858,Kalimantan Timur,362,3,221
2859,Kalimantan Utara,170,2,133
2860,Kepulauan Bangka Belitung,124,1,44
2861,Kepulauan Riau,227,16,131
2862,Lampung,150,11,109
2863,Maluku,328,8,89
2864,Maluku Utara,227,17,37
2865,Nusa Tenggara Barat,857,28,402
2866,Nusa Tenggara Timur,105,1,37
2867,Papua,1122,8,80
2868,Papua Barat,191,2,84
2869,Riau,123,6,108
2870,Sulawesi Barat,95,2,63
2871,Sulawesi Selatan,2361,94,757
2872,Sulawesi Tengah,159,4,95
2873,Sulawesi Tenggara,266,5,183
2874,Sulawesi Utara,545,54,80
2875,Sumatera Barat,659,29,393
2876,Sumatera Selatan,1223,47,450
2877,Sumatera Utara,635,53,194
2878,Aceh,22,1,18
2879,Bali,655,4,251
2880,Banten,1076,79,807
2881,Bengkulu,92,4,54
2882,DKI Jakarta,8450,514,3556
2883,Daerah Istimewa Yogyakarta,251,8,200
2884,Gorontalo,149,7,85
2886,Jambi,105,0,27
2887,Jawa Barat,2847,166,1140
2888,Jawa Tengah,2642,161,1051
2889,Jawa Timur,6944,811,3959
2890,Kalimantan Barat,245,4,152
2891,Kalimantan Selatan,1632,115,165
2892,Kalimantan Tengah,552,29,212
2893,Kalimantan Timur,365,3,228
2894,Kalimantan Utara,170,2,135
2895,Kepulauan Bangka Belitung,127,1,47
2896,Kepulauan Riau,237,16,131
2897,Lampung,152,11,109
2898,Maluku,328,8,89
2899,Maluku Utara,262,22,39
2900,Nusa Tenggara Barat,868,31,446
2901,Nusa Tenggara Timur,105,1,37
2902,Papua,1141,8,80
2903,Papua Barat,195,2,85
2904,Riau,123,6,109
2905,Sulawesi Barat,96,2,66
2906,Sulawesi Selatan,2491,94,757
2907,Sulawesi Tengah,159,4,96
2908,Sulawesi Tenggara,272,5,187
2909,Sulawesi Utara,579,58,98
2910,Sumatera Barat,661,29,396
2911,Sumatera Selatan,1262,47,513
2912,Sumatera Utara,680,56,206
2913,Aceh,22,1,18
2914,Bali,691,4,260
2915,Banten,1111,79,819
2916,Bengkulu,95,5,55
2917,DKI Jakarta,8542,518,3674
2918,Daerah Istimewa Yogyakarta,261,8,205
2919,Gorontalo,182,7,86
2921,Jambi,106,0,27
2922,Jawa Barat,2867,166,1193
2923,Jawa Tengah,2701,162,1101
2924,Jawa Timur,7189,840,4144
2925,Kalimantan Barat,267,4,153
2926,Kalimantan Selatan,1692,118,180
2927,Kalimantan Tengah,565,29,216
2928,Kalimantan Timur,373,4,239
2929,Kalimantan Utara,170,2,135
2930,Kepulauan Bangka Belitung,133,1,55
2931,Kepulauan Riau,237,16,141
2932,Lampung,153,11,111
2933,Maluku,386,10,104
2934,Maluku Utara,284,22,40
2935,Nusa Tenggara Barat,891,31,518
2936,Nusa Tenggara Timur,106,1,42
2937,Papua,1172,8,80
2938,Papua Barat,200,2,86
2939,Riau,123,6,110
2940,Sulawesi Barat,97,2,66
2941,Sulawesi Selatan,2552,106,830
2942,Sulawesi Tengah,159,4,96
2943,Sulawesi Tenggara,277,5,189
2944,Sulawesi Utara,635,58,98
2945,Sumatera Barat,671,29,411
2946,Sumatera Selatan,1296,52,544
2947,Sumatera Utara,763,57,206
2948,Aceh,22,1,19
2949,Bali,719,5,267
2950,Banten,1185,80,821
2951,Bengkulu,98,6,64
2952,DKI Jakarta,8663,526,3732
2953,Daerah Istimewa Yogyakarta,263,8,211
2954,Gorontalo,186,8,86
2956,Jambi,108,0,37
2957,Jawa Barat,2890,167,1240
2958,Jawa Tengah,2802,165,1138
2959,Jawa Timur,7407,863,4237
2960,Kalimantan Barat,267,4,157
2961,Kalimantan Selatan,1815,124,202
2962,Kalimantan Tengah,586,30,217
2963,Kalimantan Timur,376,4,249
2964,Kalimantan Utara,170,2,137
2965,Kepulauan Bangka Belitung,137,1,64
2966,Kepulauan Riau,238,16,147
2967,Lampung,165,12,114
2968,Maluku,399,10,105
2969,Maluku Utara,301,22,40
2970,Nusa Tenggara Barat,904,33,538
2971,Nusa Tenggara Timur,106,1,42
2972,Papua,1214,8,80
2973,Papua Barat,205,3,86
2974,Riau,128,6,110
2975,Sulawesi Barat,97,2,70
2976,Sulawesi Selatan,2678,106,866
2977,Sulawesi Tengah,168,4,97
2978,Sulawesi Tenggara,279,5,199
2979,Sulawesi Utara,651,64,99
2980,Sumatera Barat,674,29,415
2981,Sumatera Selatan,1319,54,558
2982,Sumatera Utara,861,59,206
2983,Aceh,27,1,19
2984,Bali,737,5,275
2985,Banten,1194,80,829
2986,Bengkulu,101,6,64
2987,DKI Jakarta,8781,535,3978
2988,Daerah Istimewa Yogyakarta,268,8,212
2989,Gorontalo,186,8,94
2991,Jambi,108,0,37
2992,Jawa Barat,2912,167,1250
2993,Jawa Tengah,2930,172,1165
2994,Jawa Timur,7601,885,4300
2995,Kalimantan Barat,268,4,166
2996,Kalimantan Selatan,1885,130,231
2997,Kalimantan Tengah,586,33,234
2998,Kalimantan Timur,378,4,261
2999,Kalimantan Utara,170,2,137
3000,Kepulauan Bangka Belitung,145,2,64
3001,Kepulauan Riau,238,16,160
3002,Lampung,166,12,115
3003,Maluku,420,10,109
3004,Maluku Utara,309,22,48
3005,Nusa Tenggara Barat,915,33,574
3006,Nusa Tenggara Timur,108,1,42
3007,Papua,1226,8,130
3008,Papua Barat,208,3,87
3009,Riau,128,6,110
3010,Sulawesi Barat,98,2,71
3011,Sulawesi Selatan,2815,109,902
3012,Sulawesi Tengah,170,4,115
3013,Sulawesi Tenggara,283,5,206
3014,Sulawesi Utara,658,64,101
3015,Sumatera Barat,681,30,427
3016,Sumatera Selatan,1388,54,619
3017,Sumatera Utara,869,59,213
3018,Aceh,27,1,19
3019,Bali,756,5,302
3020,Banten,1198,80,854
3021,Bengkulu,101,6,68
3022,DKI Jakarta,8922,537,4089
3023,Daerah Istimewa Yogyakarta,271,8,214
3024,Gorontalo,209,8,95
3026,Jambi,108,0,37
3027,Jawa Barat,2953,168,1263
3028,Jawa Tengah,3079,193,1214
3029,Jawa Timur,7913,915,4395
3030,Kalimantan Barat,268,4,173
3031,Kalimantan Selatan,1951,134,247
3032,Kalimantan Tengah,631,37,236
3033,Kalimantan Timur,382,4,262
3034,Kalimantan Utara,170,2,137
3035,Kepulauan Bangka Belitung,145,2,64
3036,Kepulauan Riau,253,16,163
3037,Lampung,166,12,115
3038,Maluku,452,11,109
3039,Maluku Utara,311,22,48
3040,Nusa Tenggara Barat,937,35,605
3041,Nusa Tenggara Timur,108,1,42
3042,Papua,1226,8,193
3043,Papua Barat,209,3,87
3044,Riau,129,7,112
3045,Sulawesi Barat,98,2,71
3046,Sulawesi Selatan,2918,117,1044
3047,Sulawesi Tengah,171,4,121
3048,Sulawesi Tenggara,286,5,208
3049,Sulawesi Utara,675,64,108
3050,Sumatera Barat,681,30,427
3051,Sumatera Selatan,1437,56,650
3052,Sumatera Utara,932,64,217
3053,Aceh,27,1,20
3054,Bali,778,5,310
3055,Banten,1235,80,863
3056,Bengkulu,104,6,69
3057,DKI Jakarta,9019,537,4221
3058,Daerah Istimewa Yogyakarta,272,8,218
3059,Gorontalo,215,8,97
3061,Jambi,108,0,45
3062,Jawa Barat,2978,168,1293
3063,Jawa Tengah,3162,199,1237
3064,Jawa Timur,8118,937,4454
3065,Kalimantan Barat,270,4,174
3066,Kalimantan Selatan,2120,140,253
3067,Kalimantan Tengah,657,37,246
3068,Kalimantan Timur,392,4,275
3069,Kalimantan Utara,171,2,145
3070,Kepulauan Bangka Belitung,146,2,69
3071,Kepulauan Riau,253,16,165
3072,Lampung,166,12,117
3073,Maluku,496,13,111
3074,Maluku Utara,314,22,48
3075,Nusa Tenggara Barat,957,35,620
3076,Nusa Tenggara Timur,108,1,42
3077,Papua,1255,8,296
3078,Papua Barat,212,3,94
3079,Riau,129,7,113
3080,Sulawesi Barat,98,2,71
3081,Sulawesi Selatan,3085,117,1087
3082,Sulawesi Tengah,172,4,125
3083,Sulawesi Tenggara,291,5,212
3084,Sulawesi Utara,701,70,115
3085,Sumatera Barat,687,30,463
3086,Sumatera Selatan,1487,60,671
3087,Sumatera Utara,957,66,223
3088,Aceh,37,2,20
3089,Bali,825,5,330
3090,Banten,1266,80,888
3091,Bengkulu,105,6,71
3092,DKI Jakarta,9141,542,4336
3093,Daerah Istimewa Yogyakarta,275,8,220
3094,Gorontalo,215,8,129
3096,Jambi,109,0,45
3097,Jawa Barat,3017,175,1326
3098,Jawa Tengah,3306,207,1316
3099,Jawa Timur,8328,963,4694
3100,Kalimantan Barat,282,4,174
3101,Kalimantan Selatan,2207,149,332
3102,Kalimantan Tengah,702,38,247
3103,Kalimantan Timur,397,4,292
3104,Kalimantan Utara,171,2,145
3105,Kepulauan Bangka Belitung,148,2,96
3106,Kepulauan Riau,262,16,175
3107,Lampung,169,12,118
3108,Maluku,520,13,113
3109,Maluku Utara,321,22,48
3110,Nusa Tenggara Barat,978,41,650
3111,Nusa Tenggara Timur,108,1,44
3112,Papua,1284,8,299
3113,Papua Barat,214,3,96
3114,Riau,131,8,114
3115,Sulawesi Barat,99,2,76
3116,Sulawesi Selatan,3174,117,1103
3117,Sulawesi Tengah,172,4,129
3118,Sulawesi Tenggara,292,5,212
3119,Sulawesi Utara,736,70,122
3120,Sumatera Barat,691,30,469
3121,Sumatera Selatan,1540,63,682
3122,Sumatera Utara,970,66,228
3123,Aceh,38,2,20
3124,Bali,890,5,333
3125,Banten,1283,80,904
3126,Bengkulu,105,8,71
3127,DKI Jakarta,9312,572,4466
3128,Daerah Istimewa Yogyakarta,275,8,227
3129,Gorontalo,215,8,129
3131,Jambi,109,0,45
3132,Jawa Barat,3072,175,1342
3133,Jawa Tengah,3389,221,1355
3134,Jawa Timur,8647,986,4963
3135,Kalimantan Barat,282,4,180
3136,Kalimantan Selatan,2325,151,346
3137,Kalimantan Tengah,738,44,286
3138,Kalimantan Timur,405,4,311
3139,Kalimantan Utara,171,2,147
3140,Kepulauan Bangka Belitung,148,2,102
3141,Kepulauan Riau,263,16,175
3142,Lampung,171,12,121
3143,Maluku,534,13,113
3144,Maluku Utara,342,22,49
3145,Nusa Tenggara Barat,1008,43,670
3146,Nusa Tenggara Timur,108,1,44
3147,Papua,1322,8,299
3148,Papua Barat,219,3,118
3149,Riau,137,8,115
3150,Sulawesi Barat,104,2,76
3151,Sulawesi Selatan,3339,117,1126
3152,Sulawesi Tengah,172,4,130
3153,Sulawesi Tenggara,326,5,212
3154,Sulawesi Utara,761,73,129
3155,Sumatera Barat,696,30,486
3156,Sumatera Selatan,1596,65,708
3157,Sumatera Utara,993,66,235
3158,Aceh,38,2,20
3159,Bali,971,5,344
3160,Banten,1288,80,928
3161,Bengkulu,107,8,74
3162,DKI Jakarta,9445,573,4592
3163,Daerah Istimewa Yogyakarta,276,8,231
3164,Gorontalo,221,8,129
3166,Jambi,112,0,46
3167,Jawa Barat,3136,175,1380
3168,Jawa Tengah,3509,235,1392
3169,Jawa Timur,8843,1008,5078
3170,Kalimantan Barat,296,4,193
3171,Kalimantan Selatan,2391,154,360
3172,Kalimantan Tengah,738,44,286
3173,Kalimantan Timur,417,4,314
3174,Kalimantan Utara,173,2,149
3175,Kepulauan Bangka Belitung,148,2,108
3176,Kepulauan Riau,265,16,185
3177,Lampung,172,12,123
3178,Maluku,544,13,136
3179,Maluku Utara,382,22,51
3180,Nusa Tenggara Barat,1022,43,689
3181,Nusa Tenggara Timur,108,1,44
3182,Papua,1340,8,299
3183,Papua Barat,222,3,126
3184,Riau,145,8,115
3185,Sulawesi Barat,104,2,77
3186,Sulawesi Selatan,3546,117,1170
3187,Sulawesi Tengah,173,4,130
3188,Sulawesi Tenggara,329,5,213
3189,Sulawesi Utara,784,74,137
3190,Sumatera Barat,700,30,497
3191,Sumatera Selatan,1670,66,739
3192,Sumatera Utara,1024,66,251
3193,Aceh,39,2,20
3194,Bali,1006,6,353
3195,Banten,1304,80,942
3196,Bengkulu,116,8,77
3197,DKI Jakarta,9634,581,4715
3198,Daerah Istimewa Yogyakarta,284,8,231
3199,Gorontalo,221,8,142
3201,Jambi,112,0,46
3202,Jawa Barat,3155,176,1387
3203,Jawa Tengah,3660,237,1429
3204,Jawa Timur,9143,1026,5335
3205,Kalimantan Barat,298,4,202
3206,Kalimantan Selatan,2475,164,385
3207,Kalimantan Tengah,764,46,296
3208,Kalimantan Timur,423,4,320
3209,Kalimantan Utara,175,2,149
3210,Kepulauan Bangka Belitung,149,2,108
3211,Kepulauan Riau,266,16,186
3212,Lampung,180,12,128
3213,Maluku,581,13,161
3214,Maluku Utara,399,22,56
3215,Nusa Tenggara Barat,1051,44,722
3216,Nusa Tenggara Timur,108,1,44
3217,Papua,1352,8,299
3218,Papua Barat,222,3,128
3219,Riau,145,8,117
3220,Sulawesi Barat,104,2,77
3221,Sulawesi Selatan,3657,132,1245
3222,Sulawesi Tengah,173,4,131
3223,Sulawesi Tenggara,332,5,223
3224,Sulawesi Utara,808,77,140
3225,Sumatera Barat,703,30,501
3226,Sumatera Selatan,1720,69,748
