,Location,Total Cases,Total Deaths,Total Recovered
18607,Kalimantan Tengah,43682,1320,38362
18608,Kalimantan Timur,152105,5128,140944
18609,Kalimantan Utara,32637,704,28021
18610,Kepulauan Bangka Belitung,47929,1252,42837
18611,Kepulauan Riau,52476,1655,49691
18612,Lampung,47113,3556,40338
18613,Maluku,14341,253,13740
18614,Maluku Utara,11819,299,11172
18615,Nusa Tenggara Barat,26175,734,24464
18616,Nusa Tenggara Timur,60081,1218,56114
18617,Papua,32565,516,19737
18618,Papua Barat,22470,346,21922
18619,Riau,124508,3775,116261
18620,Sulawesi Barat,11681,305,10440
18621,Sulawesi Selatan,105440,2064,98832
18622,Sulawesi Tengah,43281,1406,37092
18623,Sulawesi Tenggara,19734,489,18124
18624,Sulawesi Utara,32720,967,29535
18625,Sumatera Barat,87247,2015,80473
18626,Sumatera Selatan,58232,2927,53366
18627,Sumatera Utara,98306,2444,76467
18628,Aceh,34140,1540,25829
18629,Bali,108304,3598,99230
18630,Banten,129649,2628,124306
18631,Bengkulu,22647,444,21045
18632,DKI Jakarta,852389,13352,833402
18633,Daerah Istimewa Yogyakarta,151404,4949,137113
18634,Gorontalo,11315,437,10302
18636,Jambi,28610,722,25816
18637,Jawa Barat,694355,13793,667399
18638,Jawa Tengah,472651,28874,423461
18639,Jawa Timur,386603,28632,349371
18640,Kalimantan Barat,37012,977,35256
18641,Kalimantan Selatan,67012,2213,60803
18642,Kalimantan Tengah,43765,1322,38581
18643,Kalimantan Timur,152429,5152,141538
18644,Kalimantan Utara,32756,705,28125
18645,Kepulauan Bangka Belitung,48170,1261,43197
18646,Kepulauan Riau,52552,1667,49777
18647,Lampung,47224,3564,40464
18648,Maluku,14346,253,13740
18649,Maluku Utara,11823,299,11213
18650,Nusa Tenggara Barat,26256,738,24553
18651,Nusa Tenggara Timur,60263,1223,56476
18652,Papua,32642,521,19757
18653,Papua Barat,22494,346,21980
18654,Riau,124722,3805,116753
18655,Sulawesi Barat,11713,308,10478
